GalaxyID,Class1.1,Class1.2,Class1.3,Categorization
101991,0.04394,0.945656,0.010404,Feature or Disc
101995,0.496224,0.503776,0,Feature or Disc
101997,0.112727,0.887273,0,Feature or Disc
102000,0.822,0.111,0.067,Rounded
102015,0.679525,0.257918,0.062557,Rounded
102021,0.126799,0.864985,0.008216,Feature or Disc
102027,0.416039,0.578523,0.005438,Feature or Disc
102040,0.025016,0.925783,0.049201,Feature or Disc
102046,0.104629,0.877188,0.018183,Feature or Disc
102047,0.485271,0.49924,0.015489,Feature or Disc
102113,0.199286,0.777746,0.022968,Feature or Disc
102115,0.518751,0.459496,0.021752,Rounded
102159,0.239007,0.723905,0.037088,Feature or Disc
102174,0.558028,0.441364,6.08E-04,Rounded
102176,0.108068,0.853528,0.038404,Feature or Disc
102182,0.921081,0,0.078919,Rounded
102243,0,0.999491,5.09E-04,Feature or Disc
102260,0.918,0,0.082,Rounded
102271,0.386429,0.605906,0.007665,Feature or Disc
102295,0.700306,0.275727,0.023967,Rounded
102328,0.241393,0.758607,0,Feature or Disc
102347,0.588103,0.397764,0.014132,Rounded
102371,0.754986,0.230442,0.014572,Rounded
102391,0.229132,0.718477,0.052391,Feature or Disc
102402,0.007341,0.992659,0,Feature or Disc
102406,0.119271,0.875271,0.005458,Feature or Disc
102407,0.04231,0.95769,0,Feature or Disc
102422,0.008077,0.96617,0.025752,Feature or Disc
102433,0.007049,0.988113,0.004837,Feature or Disc
102471,0.612243,0.35793,0.029827,Rounded
102474,0.013761,0.971333,0.014906,Feature or Disc
102481,0.768457,0.211815,0.019728,Rounded
102513,0.846341,0.134177,0.019483,Rounded
102556,0.620074,0.379926,0,Rounded
102595,0.12269,0.870089,0.007221,Feature or Disc
102602,0.824734,0.175266,0,Rounded
102616,0.592219,0.36673,0.041052,Rounded
102642,0.665077,0.289444,0.045479,Rounded
102649,0.486956,0.462539,0.050505,Rounded
102657,0.216443,0.544742,0.238815,Feature or Disc
102699,0.245247,0.704054,0.050698,Feature or Disc
102701,0.300695,0.667608,0.031698,Feature or Disc
102729,0.641641,0.343817,0.014543,Rounded
102731,0.488056,0.395968,0.115976,Rounded
102735,0.019959,0.980041,0,Feature or Disc
102742,0.333472,0.664467,0.002062,Feature or Disc
102743,0.651544,0.303465,0.044991,Rounded
102765,0.044177,0.955823,0,Feature or Disc
102770,0.70259,0.152927,0.144483,Rounded
102799,0.501004,0.498996,0,Rounded
102804,0.803426,0.167448,0.029126,Rounded
102808,0.567259,0.406365,0.026376,Rounded
102812,0.358125,0.641875,0,Feature or Disc
102822,0.463287,0.500088,0.036624,Feature or Disc
102834,0.635202,0.334732,0.030065,Rounded
102839,0.771294,0.180726,0.04798,Rounded
102843,0.74002,0.240034,0.019946,Rounded
102863,0.258245,0.73253,0.009226,Feature or Disc
102871,0.501208,0.459156,0.039636,Rounded
102874,0.113375,0.886502,1.24E-04,Feature or Disc
102919,0.364348,0.635652,0,Feature or Disc
102928,0.909,0.091,0,Rounded
102933,0.816184,0.146853,0.036963,Rounded
102964,0.071882,0.915685,0.012434,Feature or Disc
102974,0.180686,0.808666,0.010648,Feature or Disc
102977,0.805,0.146,0.049,Rounded
102982,0.176454,0.823546,0,Feature or Disc
102990,0.041385,0.958615,0,Feature or Disc
102998,0.457237,0.480463,0.0623,Feature or Disc
103019,0.188775,0.788515,0.02271,Feature or Disc
103037,0.148617,0.851383,0,Feature or Disc
103040,0.099171,0.900829,0,Feature or Disc
103072,0.770706,0.229294,0,Rounded
103075,0.007953,0.979745,0.012302,Feature or Disc
103132,0.229576,0.770424,0,Feature or Disc
103159,0.381227,0.618773,0,Feature or Disc
103167,0.378345,0.577706,0.043949,Feature or Disc
103191,0.748594,0.251406,0,Rounded
103224,0.552642,0.435214,0.012144,Rounded
103233,0.688587,0.264818,0.046595,Rounded
103246,0.203818,0.784712,0.01147,Feature or Disc
103255,0.260065,0.712837,0.027098,Feature or Disc
103260,0.908351,0.091649,0,Rounded
103318,0.115638,0.884362,0,Feature or Disc
103323,0.718545,0.258488,0.022967,Rounded
103348,0.933,0.067,0,Rounded
103353,0.711621,0.264006,0.024372,Rounded
103354,0.811139,0.092014,0.096848,Rounded
103356,0.026522,0.864163,0.109315,Feature or Disc
103373,0.341897,0.658103,0,Feature or Disc
103386,0.564306,0.364465,0.071229,Rounded
103393,0.527,0.449,0.024,Rounded
103444,0.594672,0.375857,0.029472,Rounded
103445,0.339793,0.660207,0,Feature or Disc
103491,0.085222,0.889448,0.025331,Feature or Disc
103500,0.796207,0.053195,0.150598,Rounded
103503,0.238499,0.761501,0,Feature or Disc
103520,0.227227,0.754837,0.017936,Feature or Disc
103523,0.29655,0.688233,0.015217,Feature or Disc
103533,0,0.995828,0.004172,Feature or Disc
103547,0.136864,0.863136,0,Feature or Disc
103561,0.168596,0.831404,0,Feature or Disc
103577,0.568239,0.401682,0.03008,Rounded
103592,0.393314,0.596196,0.01049,Feature or Disc
103610,0.716845,0.283155,0,Rounded
103626,0.546627,0.438907,0.014466,Rounded
103645,0.738473,0.247139,0.014388,Rounded
103646,0.751399,0.199598,0.049004,Rounded
103707,0.904495,0,0.095505,Rounded
103718,0.901688,0.071463,0.026849,Rounded
103731,0.564299,0.435701,0,Rounded
103750,0.085549,0.907109,0.007343,Feature or Disc
103751,0.223862,0.769176,0.006962,Feature or Disc
103754,0.197466,0.797741,0.004792,Feature or Disc
103758,0.777227,0.157902,0.064871,Rounded
103769,0.158279,0.841721,0,Feature or Disc
103787,0.182691,0.817309,0,Feature or Disc
103818,0.060546,0.939454,0,Feature or Disc
103819,0.855049,0.108416,0.036534,Rounded
103824,0.276791,0.721908,0.0013,Feature or Disc
103882,0.389489,0.58918,0.021331,Feature or Disc
103900,0.5653,0.374732,0.059968,Rounded
103902,0.931195,0.045215,0.02359,Rounded
103904,0.73067,0.238,0.03133,Rounded
103907,0.54954,0.435993,0.014467,Rounded
103950,0,1,0,Feature or Disc
103955,0.54902,0.433338,0.017642,Rounded
103974,0.121516,0.878484,0,Feature or Disc
103979,0.109451,0.890162,3.87E-04,Feature or Disc
103999,0.107154,0.892846,0,Feature or Disc
104001,0.108,0.857641,0.034359,Feature or Disc
104008,0.171716,0.828284,0,Feature or Disc
104020,0.117421,0.882579,0,Feature or Disc
104040,0.003114,0.996886,0,Feature or Disc
104041,0.373589,0.625946,4.65E-04,Feature or Disc
104096,0.914811,0,0.085189,Rounded
104110,0.735239,0.236661,0.0281,Rounded
104131,0.254489,0.745511,0,Feature or Disc
104141,0.577857,0.422143,0,Rounded
104143,0.833211,0.137453,0.029336,Rounded
104159,0.911,0.089,0,Rounded
104173,0.922761,0.051493,0.025746,Rounded
104196,0.803519,0.194233,0.002248,Rounded
104212,0.264831,0.718021,0.017148,Feature or Disc
104216,0.339834,0.660166,0,Feature or Disc
104222,0.441172,0.552333,0.006496,Feature or Disc
104234,0.074877,0.925123,0,Feature or Disc
104243,0.594094,0.387919,0.017987,Rounded
104253,0.678695,0.283363,0.037942,Rounded
104267,0.436819,0.560911,0.002269,Feature or Disc
104268,0.067546,0.932454,0,Feature or Disc
104279,0.403457,0.417923,0.17862,Feature or Disc
104281,0.517314,0.397152,0.085534,Rounded
104287,0.388082,0.611918,0,Feature or Disc
104310,0.116398,0.860361,0.023241,Feature or Disc
104314,0.390641,0.581348,0.028012,Feature or Disc
104317,0.18605,0.81395,0,Feature or Disc
104354,0.216522,0.783478,0,Feature or Disc
104365,0.155843,0.833819,0.010338,Feature or Disc
104387,0.643926,0.332022,0.024053,Rounded
104389,0.009712,0.990042,2.46E-04,Feature or Disc
104398,0.129669,0.870331,0,Feature or Disc
104414,0.696458,0.132897,0.170645,Rounded
104420,0.021774,0.978226,0,Feature or Disc
104422,0.803918,0.170211,0.025871,Rounded
104440,0.756131,0.223832,0.020038,Rounded
104460,0.594297,0.354449,0.051253,Rounded
104478,0.121545,0.835259,0.043196,Feature or Disc
104516,0.63424,0.36576,0,Rounded
104536,0.005302,0.99026,0.004438,Feature or Disc
104540,0.41835,0.58165,0,Feature or Disc
104589,0.2749,0.707042,0.018059,Feature or Disc
104602,0.602865,0.37992,0.017215,Rounded
104608,0.129405,0.870595,0,Feature or Disc
104610,0.076235,0.923765,0,Feature or Disc
104611,0.83877,0.157906,0.003325,Rounded
104612,0.826512,0.146869,0.02662,Rounded
104624,0.241859,0.736995,0.021146,Feature or Disc
104703,0.89045,0.082163,0.027388,Rounded
104709,0.50752,0.49248,0,Rounded
104721,0.174506,0.809895,0.015599,Feature or Disc
104723,0.164382,0.833999,0.001619,Feature or Disc
104751,0.409048,0.576915,0.014037,Feature or Disc
104764,0.671796,0.298944,0.029259,Rounded
104769,0.566189,0.433811,0,Rounded
104784,0.121581,0.857129,0.021289,Feature or Disc
104788,0.273614,0.713433,0.012952,Feature or Disc
104819,0.475701,0.505651,0.018648,Feature or Disc
104830,0.422965,0.577035,0,Feature or Disc
104920,0.455749,0.531973,0.012277,Feature or Disc
104929,0.541,0.432,0.027,Rounded
104934,0,0.975,0.025,Feature or Disc
104962,0.075881,0.918211,0.005908,Feature or Disc
104977,0.727046,0.176591,0.096363,Rounded
104988,0.911,0.089,0,Rounded
104991,0.333704,0.643287,0.023009,Feature or Disc
105009,0,1,0,Feature or Disc
105014,0.195849,0.802927,0.001224,Feature or Disc
105020,0.935,0.065,0,Rounded
105028,0.195956,0.804044,0,Feature or Disc
105056,0.490476,0.509524,0,Feature or Disc
105069,0,0.997,0.003,Feature or Disc
105070,0.333279,0.631299,0.035422,Feature or Disc
105082,0.544582,0.434964,0.020454,Rounded
105088,0.834581,0.165419,0,Rounded
105092,0.675493,0.261575,0.062932,Rounded
105117,0.208106,0.791894,0,Feature or Disc
105165,0.918964,0.064499,0.016536,Rounded
105201,0.432868,0.567132,0,Feature or Disc
105216,0.313006,0.686994,0,Feature or Disc
105218,0.069123,0.919623,0.011255,Feature or Disc
105221,0.262282,0.726554,0.011164,Feature or Disc
105257,0.405368,0.545007,0.049624,Feature or Disc
105258,0.788193,0.176733,0.035074,Rounded
105279,0.539082,0.460918,0,Rounded
105314,0.139,0.86,0.001,Feature or Disc
105331,0.529774,0.470226,0,Rounded
105334,0.362408,0.637592,0,Feature or Disc
105354,0.682503,0.257575,0.059922,Rounded
105364,0.39186,0.576272,0.031868,Feature or Disc
105365,0.065123,0.93313,0.001746,Feature or Disc
105381,0.075397,0.924603,0,Feature or Disc
105417,0.279186,0.720462,3.53E-04,Feature or Disc
105447,1,0,0,Rounded
105459,0.850969,0.108281,0.04075,Rounded
105497,0,1,0,Feature or Disc
105500,0.121764,0.854161,0.024076,Feature or Disc
105507,0.815522,0.156184,0.028294,Rounded
105513,0.140641,0.825082,0.034277,Feature or Disc
105529,0.354016,0.605553,0.040431,Feature or Disc
105539,0.192903,0.79229,0.014807,Feature or Disc
105541,0.552297,0.413768,0.033935,Rounded
105572,0,1,0,Feature or Disc
105576,0.446508,0.553492,0,Feature or Disc
105581,0.593136,0.378804,0.028061,Rounded
105613,0.180016,0.802756,0.017228,Feature or Disc
105631,0.122594,0.877406,0,Feature or Disc
105648,0.632636,0.351002,0.016361,Rounded
105653,0.426994,0.552378,0.020628,Feature or Disc
105700,0.072145,0.927169,6.85E-04,Feature or Disc
105743,0.305599,0.693496,9.06E-04,Feature or Disc
105755,0.840504,0.13786,0.021636,Rounded
105757,0.783775,0.201369,0.014856,Rounded
105758,0.339488,0.644864,0.015648,Feature or Disc
105762,0.504815,0.494495,6.90E-04,Rounded
105764,0.22339,0.775834,7.76E-04,Feature or Disc
105772,0.728777,0.228984,0.042239,Rounded
105774,0.113271,0.879408,0.007321,Feature or Disc
105787,0.359275,0.640725,0,Feature or Disc
105797,0.998081,0,0.001919,Rounded
105846,0.304101,0.641058,0.054841,Feature or Disc
105868,0.731,0.151,0.118,Rounded
105870,0.839469,0.102576,0.057954,Rounded
105879,0.36815,0.619643,0.012207,Feature or Disc
105881,0.327731,0.628615,0.043654,Feature or Disc
105900,0.335839,0.636325,0.027835,Feature or Disc
105902,0.097254,0.902746,0,Feature or Disc
105925,0.022316,0.977684,0,Feature or Disc
105940,0.082837,0.917163,0,Feature or Disc
105973,0.267528,0.720273,0.012199,Feature or Disc
105983,0.149074,0.829977,0.020949,Feature or Disc
105984,0.425467,0.54751,0.027023,Feature or Disc
105986,0.312161,0.658727,0.029112,Feature or Disc
105991,0.754,0.201,0.045,Rounded
106000,0.698353,0.251825,0.049822,Rounded
106018,0.698037,0.301963,0,Rounded
106028,0.889,0.067,0.044,Rounded
106039,0.293303,0.706697,0,Feature or Disc
106040,0.975043,0,0.024957,Rounded
106044,0.73289,0.218463,0.048648,Rounded
106049,0.1291,0.635669,0.235231,Feature or Disc
106059,0.460961,0.524712,0.014326,Feature or Disc
106079,0.128923,0.844001,0.027076,Feature or Disc
106105,0.578251,0.371423,0.050326,Rounded
106124,0.586653,0.194909,0.218438,Rounded
106147,0.529245,0.446313,0.024442,Rounded
106165,0.262619,0.722361,0.015021,Feature or Disc
106170,0.858428,0.123272,0.0183,Rounded
106176,0.059606,0.940394,0,Feature or Disc
106199,0.117752,0.866715,0.015533,Feature or Disc
106205,0.521535,0.428165,0.0503,Rounded
106206,0.556426,0.443574,0,Rounded
106230,0.646201,0.321552,0.032248,Rounded
106263,0.322803,0.677197,0,Feature or Disc
106275,0.205799,0.791912,0.002289,Feature or Disc
106298,0.103027,0.876013,0.02096,Feature or Disc
106355,0.253134,0.715186,0.03168,Feature or Disc
106357,0.441,0.487,0.072,Feature or Disc
106388,0.728447,0.271553,0,Rounded
106390,0.024197,0.964936,0.010867,Feature or Disc
106409,0.373134,0.626866,0,Feature or Disc
106429,0.437039,0.562961,0,Feature or Disc
106432,0.229958,0.770042,0,Feature or Disc
106463,0.676278,0.241397,0.082325,Rounded
106471,0.317754,0.682246,0,Feature or Disc
106499,0.352787,0.647213,0,Feature or Disc
106514,0.279581,0.720419,0,Feature or Disc
106544,0.567984,0.43128,7.36E-04,Rounded
106612,0.510511,0.469469,0.02002,Rounded
106621,0.019363,0.980637,0,Feature or Disc
106646,0.488509,0.49179,0.019701,Feature or Disc
106652,0.86,0.093,0.047,Rounded
106664,0.070672,0.907405,0.021923,Feature or Disc
106670,0.42883,0.517239,0.053931,Feature or Disc
106689,0.71892,0.233337,0.047744,Rounded
106694,0.720824,0.265597,0.013579,Rounded
106705,0.285612,0.683578,0.030809,Feature or Disc
106725,0.599257,0.251367,0.149376,Rounded
106739,0.362703,0.62551,0.011787,Feature or Disc
106749,0.683619,0.191977,0.124404,Rounded
106773,0.83984,0.136136,0.024024,Rounded
106777,0.007322,0.992678,0,Feature or Disc
106781,0.79095,0.118477,0.090573,Rounded
106784,0.144379,0.833553,0.022068,Feature or Disc
106788,0.167323,0.818644,0.014033,Feature or Disc
106800,0.865772,0.083457,0.050771,Rounded
106803,0.332964,0.667036,0,Feature or Disc
106812,0.711463,0.226034,0.062503,Rounded
106819,0.442201,0.557799,0,Feature or Disc
106829,0.509744,0.475134,0.015122,Rounded
106841,0.763234,0.233295,0.003471,Rounded
106882,0.488786,0.511214,0,Feature or Disc
106885,0.305342,0.670223,0.024435,Feature or Disc
106886,0.255229,0.744202,5.69E-04,Feature or Disc
106896,0.844887,0.073623,0.08149,Rounded
106919,0.627844,0.372156,0,Rounded
106923,0.758512,0.208316,0.033172,Rounded
106931,0.466551,0.502747,0.030702,Feature or Disc
106944,0.195461,0.804539,0,Feature or Disc
106973,0.567391,0.421275,0.011334,Rounded
106986,0.204843,0.795157,0,Feature or Disc
107012,0,0.995229,0.004771,Feature or Disc
107019,0.557161,0.412019,0.03082,Rounded
107055,0.583662,0.401316,0.015023,Rounded
107064,0.312954,0.670699,0.016347,Feature or Disc
107084,0.058207,0.941793,0,Feature or Disc
107106,0.564946,0.403924,0.03113,Rounded
107117,0.015262,0.984543,1.95E-04,Feature or Disc
107143,0.854887,0.145113,0,Rounded
107159,0.008422,0.991578,0,Feature or Disc
107193,0.253771,0.631423,0.114806,Feature or Disc
107197,0.178756,0.821244,0,Feature or Disc
107202,0,0.964,0.036,Feature or Disc
107229,0.051901,0.948099,0,Feature or Disc
107231,0.176321,0.769091,0.054589,Feature or Disc
107261,0.687343,0.267671,0.044987,Rounded
107268,0.134283,0.854012,0.011705,Feature or Disc
107272,0.822508,0.156961,0.020531,Rounded
107290,0.419223,0.507682,0.073095,Feature or Disc
107298,0.927399,0.072601,0,Rounded
107314,0.098727,0.900492,7.80E-04,Feature or Disc
107355,0.173073,0.814717,0.01221,Feature or Disc
107374,0.191347,0.786178,0.022475,Feature or Disc
107379,0.028279,0.971721,0,Feature or Disc
107383,0.605956,0.392745,0.001299,Rounded
107388,0.798132,0.201868,0,Rounded
107394,0.824838,0.15751,0.017652,Rounded
107403,0.7471,0.162761,0.090139,Rounded
107406,0.479334,0.509474,0.011192,Feature or Disc
107415,0.474964,0.506394,0.018641,Feature or Disc
107422,0.354901,0.632365,0.012735,Feature or Disc
107434,0.465,0.535,0,Feature or Disc
107435,0.970662,0,0.029338,Rounded
107454,0.093634,0.901991,0.004376,Feature or Disc
107461,0.942511,0.054489,0.003,Rounded
107466,0.225,0.775,0,Feature or Disc
107480,0.642995,0.3335,0.023505,Rounded
107496,0.214385,0.740842,0.044773,Feature or Disc
107510,0.531496,0.39723,0.071274,Rounded
107517,0.152461,0.814998,0.032541,Feature or Disc
107521,0.767855,0.202889,0.029256,Rounded
107524,0.032914,0.967086,0,Feature or Disc
107527,0.528233,0.444289,0.027478,Rounded
107539,0.714531,0.259517,0.025952,Rounded
107553,0.851396,0.109129,0.039476,Rounded
107555,0,0.98,0.02,Feature or Disc
107559,0.27209,0.727325,5.86E-04,Feature or Disc
107560,0.499515,0.483345,0.01714,Rounded
107562,0.168383,0.787444,0.044173,Feature or Disc
107563,0.298299,0.701701,0,Feature or Disc
107573,0.835398,0.117257,0.047345,Rounded
107576,0.72105,0.238324,0.040626,Rounded
107583,0.04483,0.95517,0,Feature or Disc
107593,0.323486,0.675083,0.001431,Feature or Disc
107597,0.056683,0.916503,0.026814,Feature or Disc
107606,0.014403,0.985597,0,Feature or Disc
107608,0.542716,0.457284,0,Rounded
107610,0.768943,0.205872,0.025185,Rounded
107613,0.191217,0.808783,0,Feature or Disc
107616,0.160327,0.826519,0.013154,Feature or Disc
107619,0.982759,0,0.017241,Rounded
107627,0.120436,0.871182,0.008382,Feature or Disc
107629,0.130699,0.869301,0,Feature or Disc
107631,0.45036,0.47309,0.07655,Feature or Disc
107660,0.281371,0.718629,0,Feature or Disc
107688,0.569419,0.430581,0,Rounded
107692,0.768369,0.167711,0.06392,Rounded
107709,0.049151,0.894433,0.056416,Feature or Disc
107720,0.238374,0.759295,0.002331,Feature or Disc
107736,0.456254,0.543746,0,Feature or Disc
107745,0.101762,0.893293,0.004945,Feature or Disc
107747,0.068602,0.926582,0.004816,Feature or Disc
107794,0.513059,0.465837,0.021104,Rounded
107810,0.127639,0.87203,3.31E-04,Feature or Disc
107823,0.481767,0.46091,0.057323,Rounded
107828,0.846241,0.127001,0.026757,Rounded
107831,0.277214,0.722786,0,Feature or Disc
107849,0.93292,0.055065,0.012014,Rounded
107859,0.090346,0.906937,0.002717,Feature or Disc
107888,0.819854,0.154756,0.02539,Rounded
107943,0.147465,0.852535,0,Feature or Disc
107946,0.297693,0.687195,0.015112,Feature or Disc
107951,0.233584,0.678596,0.08782,Feature or Disc
107954,0.555599,0.413157,0.031244,Rounded
107961,0.831674,0.167761,5.65E-04,Rounded
107966,0.574175,0.363025,0.0628,Rounded
107967,0.935834,0.030653,0.033513,Rounded
107972,0.125805,0.817731,0.056464,Feature or Disc
107975,0.966195,0,0.033805,Rounded
107985,0.400963,0.458897,0.140139,Feature or Disc
107987,0.196581,0.797625,0.005794,Feature or Disc
108012,0.133602,0.850094,0.016304,Feature or Disc
108017,0.585131,0.364188,0.050682,Rounded
108038,0.062583,0.937417,0,Feature or Disc
108041,0.418891,0.550917,0.030192,Feature or Disc
108051,0.486999,0.513001,0,Feature or Disc
108066,0.605449,0.366132,0.02842,Rounded
108088,0.495232,0.504768,0,Feature or Disc
108103,0.572209,0.203328,0.224463,Rounded
108105,0.235309,0.748994,0.015697,Feature or Disc
108111,0.528648,0.471352,0,Rounded
108146,0.868443,0.074572,0.056984,Rounded
108160,0.743262,0.255729,0.001009,Rounded
108182,0.612172,0.387828,0,Rounded
108195,0.826714,0.141043,0.032243,Rounded
108207,0.619626,0.366287,0.014087,Rounded
108225,0.20783,0.791963,2.08E-04,Feature or Disc
108251,0.052716,0.907273,0.040011,Feature or Disc
108272,0,0.973,0.027,Feature or Disc
108305,0.750804,0.22086,0.028336,Rounded
108326,0.155539,0.84383,6.32E-04,Feature or Disc
108481,0.720761,0.248509,0.03073,Rounded
